HCHGSMMJ.HFT	# 신문명조	hangul
HCHGSMTG.HFT	# 신문태고	hangul
HCHGSMTM.HFT	# 신문태명	hangul
HCHGSNR.HFT	# 세나루	hangul
HCHGSSGT.HFT	# 신세고딕	hangul
HCHGSSNR.HFT	# 신세나루	hangul
HCHGSTMJ.HFT	# 신태명조	hangul
HCHGTGRP.HFT	# 태그래픽	hangul
HCHGTGT.HFT	# 태고딕	hangul
HCHGTMJ.HFT	# 태명조	hangul
HCHGTSMJ.HFT	# 태신명조	hangul
HCHJGGT.HFT	# 견고딕	hanja
HCHJGMJ.HFT	# 견명조	hanja
HCHJGS.HFT	# 궁서	hanja
HCHJJGT.HFT	# 중고딕	hanja
HCHJJMJ.HFT	# 중명조	hanja
HCHJSDNR.HFT	# 신디나루	hanja
HCHJSMGG.HFT	# 신문견고	hanja
HCHJSMGM.HFT	# 신문견명	hanja
HCHJSMGT.HFT	# 신문고딕	hanja
HCHJSMJ.HFT	# 신명조	hanja
HCHJSMMJ.HFT	# 신문명조	hanja
HCHJSSGT.HFT	# 신세고딕	hanja
HCHJSSNR.HFT	# 신세나루	hanja
HCHJTGT.HFT	# 태고딕	hanja
HCHJTMJ.HFT	# 태명조	hanja
HCJPJGT.HFT	# 중고딕	japanese
HCJPJGTV.HFT	# 중고딕 V	japanese
HCJPSEGT.HFT	# 세고딕	japanese
HCJPSEGV.HFT	# 세고딕 V	japanese
HCJPSEMJ.HFT	# 세명조	japanese
HCJPSEMV.HFT	# 세명조 V	japanese
HCJPTGT.HFT	# 태고딕	japanese
HCJPTGTV.HFT	# 태고딕 V	japanese
HCJPTMJ.HFT	# 태명조	japanese
HCJPTMJV.HFT	# 태명조 V	japanese
HCSPBIG.HFT	# 빅	symbol
HCSPDNR.HFT	# 디나루	symbol
HCSPGGT.HFT	# 견고딕	symbol
HCSPGJ.HFT	# 공작	symbol
HCSPGMJ.HFT	# 견명조	symbol
HCSPGRP.HFT	# 그래픽	symbol
HCSPGS.HFT	# 궁서	symbol
HCSPJGT.HFT	# 중고딕	symbol
HCSPJMJ.HFT	# 중명조	symbol
HCSPPG.HFT	# 필기	symbol
HCSPSDNR.HFT	# 신디나루	symbol
HCSPSEGT.HFT	# 세고딕	symbol
HCSPSEMJ.HFT	# 세명조	symbol
HCSPSGRP.HFT	# 신그래픽	symbol
HCSPSMA.HFT	# 수암 A	symbol
HCSPSMGT.HFT	# 신문고딕	symbol
HCSPSMJ.HFT	# 신명조	symbol
HCSPSMMJ.HFT	# 신문명조	symbol
HCSPSNR.HFT	# 세나루	symbol
HCSPSSGT.HFT	# 신세고딕	symbol
HCSPSSNR.HFT	# 신세나루	symbol
HCSPSTMJ.HFT	# 신태명조	symbol
HCSPTGRP.HFT	# 태그래픽	symbol
HCSPTGT.HFT	# 태고딕	symbol
HCSPTMJ.HFT	# 태명조	symbol
HCSPTSMJ.HFT	# 태신명조	symbol
HGBT.HFT	문화바탕	hangul
HGBTJM.HFT	문화바탕제목	hangul
HGCORN.HFT	옥수수	hangul
HGCUCMBR.HFT	오이	hangul
HGDU.HFT	문화돋움	hangul
HGDUJM.HFT	문화돋움제목	hangul
HGEGPLNT.HFT	가지	hangul
HGGGT.HFT	한양견고딕	hangul
HGGMJ.HFT	한양견명조	hangul
HGGRP.HFT	한양그래픽	hangul
HGGS.HFT	한양궁서	hangul
HGGT.HFT	고딕	hangul
HGJGT.HFT	한양중고딕	hangul
HGKDNYBN.HFT	강낭콩	hangul
HGMJ.HFT	명조	hangul
HGOLD.HFT	옛한글	hangul
HGPEACH.HFT	복숭아	hangul
HGPENHL.HFT	펜흘림	hangul
HGPG.HFT	필기	hangul
HGSM.HFT	샘물	hangul
HGSMJ.HFT	한양신명조	hangul
HGSTRBRY.HFT	딸기	hangul
HGSYS.HFT	시스템	hangul
HGTYPE.HFT	타이프	hangul
